,Features,Weight,Odds-Ratio
0,cap-shape_conical,0.4146197152391901,1.513794958064765
1,cap-shape_convex,-0.22285366967786482,0.8002319389248693
2,cap-shape_flat,-0.16654409345293317,0.8465854872351127
3,cap-shape_knobbed,-0.1309102980290473,0.8772964660837084
4,cap-shape_sunken,-0.6732095868409198,0.5100688375209238
5,cap-surface_groovesmooth,1.203854598974307,3.332939338781161
6,cap-surface_scaly,0.4232292456204634,1.5268842873837611
7,cap-surface_smooth,0.677562876142875,1.9690730049540859
8,cap-color_buff,1.261865667762839,3.5320048918980027
9,cap-color_cinnamon,-0.8502799689527015,0.4272952857872468
10,cap-color_gray,0.3178583330677179,1.3741815713497163
11,cap-color_green,-0.40168831998228954,0.6691892861182653
12,cap-color_pink,1.0116031994557055,2.750006291394567
13,cap-color_purple,-0.29556627086410353,0.744110100269745
14,cap-color_red,0.25781794433650773,1.2941031983604818
15,cap-color_white,0.6140828976310876,1.8479610527230477
16,cap-color_yellow,-0.216144847786125,0.8056186013509108
17,bruises_yes,0.018140755618823452,1.0183062986360678
18,odor_anise,-1.614971662490374,0.19889630658696456
19,odor_creosote,3.8071878605964415,45.02364789858956
20,odor_fishy,1.00754130656034,2.7388587158332864
21,odor_foul,3.6176125100839,37.24853108483617
22,odor_musty,0.3582641244393614,1.4308434913101968
23,odor_none,-3.5814585849294445,0.027835068819818436
24,odor_pungent,2.828926256403314,16.9272755094178
25,odor_spicy,1.0659562910161373,2.9036143571400177
26,gill-attachment_free,0.28281145357645,1.3268549644728702
27,gill-spacing_crowded,-2.214444238402264,0.10921419444023957
28,gill-size_narrow,3.2500005219927885,25.790353379568028
29,gill-color_brown,-0.6327408149688494,0.5311340640326222
30,gill-color_buff,2.1574133649418137,8.648737572714584
31,gill-color_chocolate,0.15661507236376762,1.1695453369224387
32,gill-color_gray,-0.0483964275105115,0.9527560135079745
33,gill-color_green,0.9885598654734584,2.6873615221206557
34,gill-color_orange,-0.15070499097555845,0.860101398910047
35,gill-color_pink,-0.42550729758524686,0.6534382134064217
36,gill-color_purple,-0.10575069136573438,0.8996489103606611
37,gill-color_red,-0.5487006039909359,0.5776999839422402
38,gill-color_white,-0.17488172126488455,0.839556316555982
39,gill-color_yellow,0.2020526372697599,1.223912429824583
40,stalk-shape_tapering,-0.8431855652740569,0.4303374695147594
41,stalk-root_club,-2.1953356521404914,0.11132119003763878
42,stalk-root_equal,-0.02948557050120911,0.9709448877881987
43,stalk-root_missing,-1.0783893421614612,0.3401429385693683
44,stalk-root_rooted,-1.7947723637240915,0.16616527328595698
45,stalk-surface-above-ring_scaly,0.1709781421627549,1.1864648151834567
46,stalk-surface-above-ring_silky,1.8683454486352036,6.477570055714249
47,stalk-surface-above-ring_smooth,-0.8876739334566663,0.41161207716557174
48,stalk-surface-below-ring_scaly,1.0970030112595963,2.995176050352132
49,stalk-surface-below-ring_silky,0.42278776068105206,1.52621033974647
50,stalk-surface-below-ring_smooth,-0.05241287999404555,0.9489369888508586
51,stalk-color-above-ring_buff,0.25388818673541497,1.2890276658182036
52,stalk-color-above-ring_cinnamon,0.3582641244393614,1.4308434913101968
53,stalk-color-above-ring_e,-0.567325540808193,0.5670399377374705
54,stalk-color-above-ring_gray,-0.3404642312929255,0.7114399733905985
55,stalk-color-above-ring_orange,-0.43940340161169994,0.6444207668125874
56,stalk-color-above-ring_pink,0.3518782533073788,1.4217354215961242
57,stalk-color-above-ring_white,-0.08183341098741906,0.9214254452664995
58,stalk-color-above-ring_yellow,0.7383749746562075,2.0925323320421243
59,stalk-color-below-ring_buff,0.24594846886978608,1.2788336720992861
60,stalk-color-below-ring_cinnamon,0.3582641244393614,1.4308434913101968
61,stalk-color-below-ring_e,-0.5766500634748691,0.5617771356755792
62,stalk-color-below-ring_gray,-0.3242130893796247,0.7230961418535562
63,stalk-color-below-ring_orange,-0.43940340161169994,0.6444207668125874
64,stalk-color-below-ring_pink,0.4420623905980091,1.555912811736682
65,stalk-color-below-ring_white,0.14738365765245712,1.1587984596538392
66,stalk-color-below-ring_yellow,1.2988635787729181,3.665129169462896
67,veil-color_orange,-0.20130761748796874,0.8176608660812396
68,veil-color_white,-0.2992401664150213,0.741381333154948
69,veil-color_yellow,0.7383749746562075,2.0925323320421243
70,ring-number_one,-0.4775997530010052,0.6202704086753252
71,ring-number_two,0.11906703519113332,1.1264454272419624
72,ring-type_flaring,-1.7614547423787537,0.1717947648275106
73,ring-type_large,0.7815979292135128,2.184960890305141
74,ring-type_none,0.3582641244393614,1.4308434913101968
75,ring-type_pendant,-0.1678779626662798,0.845457005707924
76,spore-print-color_brown,-0.8584165244300255,0.42383267993458923
77,spore-print-color_buff,-0.11720135922256562,0.8894060850136541
78,spore-print-color_chocolate,1.7722420003398094,5.8840305827615165
79,spore-print-color_green,4.614946747599554,100.98245083138472
80,spore-print-color_orange,-0.12442882204671979,0.8830011093413735
81,spore-print-color_purple,-1.5288054439890348,0.21679448585483133
82,spore-print-color_white,0.8940274868231048,2.4449568801066133
83,spore-print-color_yellow,-0.12681021312457733,0.8809008401515608
84,population_clustered,1.7495584105187774,5.752062064990226
85,population_numerous,-1.1647712262177965,0.31199402992303477
86,population_scattered,0.10578186094716595,1.1115793711863715
87,population_several,0.611289225753863,1.8428056604899796
88,population_solitary,-1.2011140955615223,0.3008588396306286
89,habitat_leaves,0.543280287492733,1.7216451004978832
90,habitat_meadows,0.3608472406186647,1.4345443040394672
91,habitat_paths,-0.20811171125406455,0.8121163091130491
92,habitat_urban,-0.00803354496630763,0.9919986377180444
93,habitat_waste,-1.5249110057789816,0.21764042474346762
94,habitat_woods,-0.06564200791524466,0.9364660517249747
